Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Alex Cobb","SFG","SP",226.3800048828125,166.314,1.218226421991551,-8.21842888418001,3.6836015967730216,6.306831978830455,-5.6090416211510945,-2.6188105077360766,14.737972710292768,13.119162202556694,"6562"
"David Bednar","PIT","RP",103.23999786376953,66,-0.11313580854700388,-0.8381348161655892,-5.277179283217101,-5.753388976757579,11.586129870189627,-0.39570901449764617,11.882027289707361,12.486318275209715,"19569"
"Paul Sewald","SEA","RP",179.58999633789062,67,-0.16853100254899978,2.033765033492693,-5.087002138685768,-5.753388976757579,8.46651232130721,-0.5086447631924441,11.882027289707361,12.373382526514916,"13892"
"Camilo Doval","SFG","RP",77.0999984741211,64,1.7698793079864548,-4.526243692171294,-5.502392299982399,-5.753388976757579,13.101531444683507,-0.9106142162413078,11.882027289707361,11.971413073466055,"21992"
"Clay Holmes","NYY","RP",100.23999786376953,64,3.6437556069179404,-2.9410868431430983,-6.225112256115606,-5.753388976757579,10.092488648755547,-1.1833438203427962,11.882027289707361,11.698683469364566,"13649"
"Logan Gilbert","SEA","SP",110.55000305175781,176.378,-8.806508124619587,-0.7698420077179525,4.999918031214244,6.124117957824333,-5.6090416211510945,-4.061355764450056,14.737972710292768,11.676616945842714,"22250"
"Lance Lynn","CHW","SP",131.86000061035156,182.973,-10.45873511612898,-0.5540166331549143,5.348557781863703,6.8173368262646585,-5.6090416211510945,-4.455898762306625,14.737972710292768,11.282073947986143,"2520"
"Jose Alvarado","PHI","RP",490.54998779296875,65,6.637389069960928,-2.487061880965546,-3.989005709768283,-5.753388976757579,3.725603776945477,-1.8664637205850019,11.882027289707361,11.01556356912236,"17780"
"Jordan Montgomery","STL","SP",156.86000061035156,176.08,-4.1533111660231645,-4.709513783723649,3.1726902662080447,6.526345256956417,-5.6090416211510945,-4.772831047733444,14.737972710292768,10.965141662559326,"16511"
"Aaron Ashby","MIL","SP",233.58999633789062,118.922,4.339251716210951,-5.920864268336623,0.7453701365161832,-0.5248121824252745,-4.341130821909047,-5.702185419943811,14.737972710292768,10.035787290348956,"23550"
"Zac Gallen","ARI","SP",71.93000030517578,182.402,-7.783466300496905,-6.657213569071838,7.247995405081516,6.988289036494327,-5.6090416211510945,-5.813437049143993,14.737972710292768,9.924535661148775,"19291"
"Hunter Greene","CIN","SP",112.66000366210938,168.428,-11.62337404440683,-3.2162525282106187,9.168028070523025,5.361927437338535,-5.6090416211510945,-5.918712685906981,14.737972710292768,9.819260024385787,"22182"
"Dustin May","LAD","SP",153.97000122070312,125.173,-2.008059841382105,-2.9441599416056787,1.218027007911142,1.4435301796924305,-4.071253975230089,-6.361916570614301,14.737972710292768,9.376056139678468,"19716"
"Pablo Lopez","MIN","SP",162.75999450683594,171.236,-6.533872063965192,-5.29546061679717,4.623678510248694,6.195898724514459,-5.6090416211510945,-6.618797067150305,14.737972710292768,9.119175643142466,"17085"
"Nestor Cortes","NYY","SP",112.02999877929688,167.045,-10.445784794443135,-1.4435515794123448,5.323719130211274,5.293713421313915,-5.6090416211510945,-6.880945443481383,14.737972710292768,8.857027266811386,"17874"
"A.J. Minter","ATL","RP",472.1400146484375,68,2.88003224037294,0.9289880871441678,-4.614644537978808,-5.753388976757579,2.410787310535676,-4.148225876683604,11.882027289707361,8.733801413023759,"18655"
"Charlie Morton","ATL","SP",162.47999572753906,165.805,-7.229803331762512,-5.841226961654894,5.816170270490378,5.439626014323347,-5.6090416211510945,-7.4242756297547725,14.737972710292768,8.313697080537995,"4676"
"Liam Hendriks","CHW","RP",446.2799987792969,38,3.5371195948043628,5.0731807638697735,-7.946343154596304,-5.753388976757579,0.21762161056967644,-4.87181016211007,11.882027289707361,8.01021712759729,"3548"
"Jason Adam","TBR","RP",309.8299865722656,68,0.22282860663095383,0.4053071002053284,-5.124497412540998,-5.753388976757579,4.912197408719524,-5.337553273742772,11.882027289707361,7.54447401596459,"11861"
