Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,PlayerId
"Collin McHugh","ATL","RP",689,61.3477,-1.1854720381610966,-0.5840448839064946,-5.418148724679113,-4.995251167025978,3.06862358722234,-9.114293226550343,10.760194072008058,2.6459008454577146,"7531"
"Garrett Cleavinger","TBR","RP",679.469970703125,53.056,2.34414191498874,-2.9270958231680817,-4.933473365185845,-5.287935488973481,1.550289635153579,-9.254073127185091,10.760194072008058,2.506120944822968,"17897"
"Dylan Lee","ATL","RP",735.8300170898438,50.6283,2.380663234773021,2.1998705431014476,-6.588280997334162,-5.2899360697441855,-2.0538115030317687,-9.351494792235647,10.760194072008058,2.408699279772412,"19996"
"Zach Jackson","OAK","RP",657.1300048828125,54.3315,2.369187276410315,-3.059805698506252,-5.524879649719116,-5.2373123755753745,2.0173456015468236,-9.435464845843603,10.760194072008058,2.324729226164454,"19493"
"Emilio Pagan","MIN","RP",738.969970703125,62.4875,-2.3529757349526594,1.5803007734562151,-4.925401490860747,-5.2899360697441855,1.5330993878255725,-9.454913134275804,10.760194072008058,2.3052809377322534,"14771"
"Yerry De Los Santos","PIT","RP",748.9000244140625,48.4832,3.083283263921785,1.0849366125399542,-7.339863588975212,-5.2899360697441855,-1.2208315866357566,-9.682411368893414,10.760194072008058,2.0777827031146447,"21420"
"Andrew Chafin",,"RP",694.6699829101562,58.5757,3.4903580159148024,0.8324889808849172,-5.965345227945957,-5.2899360697441855,-2.825569528714544,-9.758003829604965,10.760194072008058,2.002190242403092,"12988"
"Luis Garcia","HOU","SP",151.10000610351562,156.067,-12.762914356226723,-5.798057820512895,4.196142698736733,4.834550520472439,-5.338784550913038,-14.869063508443485,15.859805927991813,1.9907424195483294,"23735"
"Alex Lange","DET","RP",220.60000610351562,63.8714,-1.0740430942447419,-5.753530137643607,-4.928494703561808,-5.2899360697441855,7.262073475544455,-9.783930529649885,10.760194072008058,1.9762635423581711,"19883"
"Hunter Brown","HOU","SP",256.9700012207031,100.916,0.2171537454191225,-6.797631135995246,-1.2085480158295954,-2.105938269647506,-5.0044766994936785,-14.899440375546904,15.859805927991813,1.9603655524449097,"25880"
"Drew Smith","NYM","RP",999,54.0748,0.4413310039385804,0.817659927877424,-6.3509480753904315,-5.289018719328095,0.489159889541497,-9.891815973361025,10.760194072008058,1.8683780986470317,"17755"
"Jake Cousins","MIL","RP",741.22998046875,53.4949,2.663447691084966,0.6571534079937992,-5.737209578040866,-5.2899360697441855,-2.188318800931754,-9.89486334963804,10.760194072008058,1.8653307223700173,"21620"
"Jose Leclerc","TEX","RP",170.52999877929688,54.5372,-1.064683658685261,-3.081587935869355,-5.605547016117964,-5.2899360697441855,5.0531082386232224,-9.988646441793545,10.760194072008058,1.7715476302145134,"14524"
"Scott Barlow","KCR","RP",114.5999984741211,70.4981,-2.848809942240253,-4.074014747101673,-4.561138793682911,-5.2899360697441855,6.777123564684876,-9.996775988084146,10.760194072008058,1.7634180839239109,"14993"
"Chris Bassitt","TOR","SP",151.10000610351562,174.519,-13.78955808027846,-7.56568106897564,3.2470850208398905,8.03780611976766,-5.338784550913038,-15.409132559559588,15.859805927991813,1.4506733684322262,"12304"
"Trevor Stephan","CLE","RP",575.2999877929688,62.1139,-2.2147496322970737,-2.5294153311671774,-4.737271690908093,-5.148524142101924,4.292458369470714,-10.337502427003555,10.760194072008058,1.4226916450045048,"19932"
"Sonny Gray","MIN","SP",212.77000427246094,146.335,-6.7288124247844685,-8.61018167761345,2.404902612472396,2.6840555968735464,-5.338784550913038,-15.588820443965016,15.859805927991813,1.2709854840267987,"12768"
"Jordan Montgomery","STL","SP",156.6300048828125,172.607,-8.833926609678521,-9.783254792412253,3.449485353103608,4.911962381218708,-5.338784550913038,-15.594518218681491,15.859805927991813,1.2652877093103199,"16511"
"Bailey Ober","MIN","SP",289.6000061035156,84.6428,-5.190621873810056,0.007744965044910899,-3.9766838787947343,-1.5056647471699018,-5.0346352809584545,-15.699860815688238,15.859805927991813,1.1599451123035756,"21224"
"Adam Ottavino","NYM","RP",671.1300048828125,64.8035,-0.8206997304647449,-2.483804506948755,-4.229179903917261,-5.2899360697441855,2.1861835408995622,-10.637436670175381,10.760194072008058,1.122757401832676,"1247"
"Cody Morris","CLE","SP",390.7300109863281,60.9756,-1.696341907719074,-2.005915272307875,-5.22074907269035,-3.7326329384673627,-3.161536017777466,-15.81717520896213,15.859805927991813,1.0426307190296826,"25388"
"Caleb Thielbar","MIN","RP",748.3300170898438,57.8007,-0.5710607558060392,-0.6715457700120738,-5.068159006329108,-5.2899360697441855,0.8405075298833504,-10.760194072008058,10.760194072008058,1,"10078"
"Garrett Whitlock","BOS","SP",296.0299987792969,120.802,-7.0787354891188325,-5.794302089689278,-0.2940563578502741,1.8188227056530295,-4.511534696986456,-15.859805927991813,15.859805927991813,1,"20191"
"Seranthony Dominguez","PHI","RP",248.89999389648438,60.595,-1.099224436040691,-4.215927603330645,-5.513018120919504,-5.2899360697441855,5.336448200315773,-10.781658029719253,10.760194072008058,0.9785360422888048,"19249"
"Yimi Garcia","TOR","RP",725.4299926757812,62.0307,-3.6309994076481056,1.355319889256562,-6.2569504546252395,-5.2899360697441855,3.028110189849879,-10.794455852911087,10.760194072008058,0.9657382190969697,"12095"
"Tyler Mahle","MIN","SP",284.07000732421875,162.751,-12.459285672680702,-10.316055298415762,4.026662696110882,7.791793658226139,-5.338784550913038,-16.295669167672482,15.859805927991813,0.5641367603193308,"16358"
"Ron Marinaccio","NYY","RP",723.7000122070312,51.0226,0.840615376065139,-0.11242977446672048,-5.838322485074646,-5.2899360697441855,-0.8235425417376301,-11.223615494958045,10.760194072008058,0.5365785770500143,"23488"
"Andrew Painter","PHI","SP",999,83.8954,-3.9145059298684357,-2.4798513090517083,-3.3765728875988943,-1.2835320453904162,-5.338784550913038,-16.393246722822493,15.859805927991813,0.4665592051693198,"sa3017880"
"Jalen Beeks","TBR","SP/RP",721.2000122070312,57.6197,-3.5733229668245823,-4.665634352667809,-6.2691663206034995,-4.834741246930935,2.938338472152312,-16.404526414874514,15.859805927991813,0.4552795131172982,"17192"
"Matt Bush","MIL","SP/RP",590.4000244140625,54.7987,-3.9332976910132964,-3.2968286602455295,-6.1662197492516775,-5.0619175919857495,1.8831901522160015,-16.57507354028025,15.859805927991813,0.28473238771156006,"1246"
"Peter Strzelecki","MIL","RP",733.5700073242188,59.8833,-2.1672105864571516,-1.2411265181204065,-5.058218808698413,-5.2899360697441855,2.1323502304598887,-11.62414175256027,10.760194072008058,0.1360523194477885,"21367"
"Penn Murfee","SEA","RP",744.9299926757812,57.8834,-1.1545864385079212,-0.5910668193354562,-5.878888587367085,-5.2334453289195615,1.0342260525246998,-11.823761121605322,10.760194072008058,-0.06356704959726511,"25174"
"Kenta Maeda","MIN","SP",333.0299987792969,102.844,-7.354856050454209,-3.951193353779953,-2.1204267939000845,1.3762431700373647,-5.0346352809584545,-17.084868309055334,15.859805927991813,-0.22506238106352172,"18498"
"Aaron Ashby","MIL","SP",232.6699981689453,114.689,-2.122949127149128,-10.25090733940007,0.3000663758016982,-0.6548416137268699,-4.5619497973783165,-17.290581501852685,15.859805927991813,-0.4307755738608736,"23550"
"Dylan Coleman","KCR","RP",602.7000122070312,63.491,-0.3643509681894705,-4.615935004458483,-5.456815106700756,-5.2899360697441855,3.4956186699342546,-12.23141847915864,10.760194072008058,-0.471224407150582,"22276"
"Aroldis Chapman","KCR","RP",321.1700134277344,48.5051,-0.6798816522480731,-5.30919911308783,-6.591662083508324,-5.2899360697441855,5.602698340123423,-12.26798057846499,10.760194072008058,-0.5077865064569316,"10233"
