Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
Andrew Heaney,TEX,SP,212.66000366210938,72.2,-3.0266133112050384,-2.544561200850481,0.3301073628209,-5.27928907410586,-10.520356223340471,21.52277268204318,12.00241645870271,15423
Jesus Luzardo,MIA,SP,142.4499969482422,100.1,-6.317188786034217,-0.5998728323082614,1.35369608474617,-5.27928907410586,-10.84265460770216,21.52277268204318,11.680118074341022,19959
Kenley Jansen,BOS,RP,76.02999877929688,64,-4.350545567287929,-0.6518195646126007,-2.22886444199228,12.1999183630358,4.968688789142981,5.097227315114666,11.065916104257647,3096
Jalen Beeks,TBR,SP/RP,720.1699829101562,61,-0.6332553794572989,-4.403589841630154,-3.76424752488019,-2.72135627842659,-11.522449024394223,21.52277268204318,11.00032365764896,17192
Framber Valdez,HOU,SP,80.83000183105469,201.1,-2.416148059359495,-13.952112044976348,8.92825262699314,-5.27928907410586,-12.719296551448519,21.52277268204318,9.803476130594662,17295
Edward Cabrera,MIA,SP,222.6199951171875,71.2,-2.391965332786485,-2.0295148495502766,-3.25245316391755,-5.27928907410586,-12.953222420360165,21.52277268204318,9.569550261683018,21690
Brooks Raley,NYM,RP,726.2100219726562,53.2,-0.035031946433798936,1.4147212863187077,-4.68547737461293,6.65773063906405,3.35194260433603,5.097227315114666,9.449169919450696,10061
Cionel Perez,CIN,RP,741.8300170898438,57.2,7.399780529054329,-4.353300650524863,-5.29963060776809,5.37876424122442,3.1256135119857906,5.097227315114666,9.222840827100457,19614
Miles Mikolas,STL,SP,237.33999633789062,202.1,-12.117527300652894,-0.6951941358892759,4.73153886709956,-5.27928907410586,-13.36047164354846,21.52277268204318,9.162301038494723,9803
Clay Holmes,NYY,RP,100.23999786376953,63.2,0.8718732796805544,-0.027905695040667883,-4.27604188584281,6.23140850645084,2.799334205247905,5.097227315114666,8.896561520362571,13649
Collin McHugh,ATL,RP,687.7899780273438,69.1,0.6634747769161314,3.183672596886433,-3.25245316391755,1.96818718031873,2.562881390203746,5.097227315114666,8.660108705318414,7531
Jimmy Herget,LAA,RP,390.3399963378906,69,1.54294580349416,4.188621742171806,-4.48075963022787,1.11554291509231,2.3663508305304015,5.097227315114666,8.46357814564507,17556
Bailey Ober,MIN,SP,287.8599853515625,56,-2.900054245089446,-0.768976218945468,-5.7090660965382,-5.27928907410586,-14.657385634678963,21.52277268204318,7.865387047364218,21224
Lance McCullers Jr.,HOU,SP,194.97000122070312,47.2,1.9595096715025493,-5.559128334624585,-5.81142496873072,-5.27928907410586,-14.690332705958612,21.52277268204318,7.8324399760845695,14120
Freddy Peralta,MIL,SP,143.47999572753906,78,-6.888905381135273,-0.446795419530087,-2.12650556979975,-5.27928907410586,-14.741495444570962,21.52277268204318,7.781277237472221,18679
